# Created manually in R.
# Source	Type	Station	PairDir
RawFastqs/SRR13612885_1.fastq.gz	DNA	Stn2	SRR13612885
RawFastqs/SRR13612885_2.fastq.gz	DNA	Stn2	SRR13612885
RawFastqs/SRR13612887_1.fastq.gz	DNA	Stn2	SRR13612887
RawFastqs/SRR13612887_2.fastq.gz	DNA	Stn2	SRR13612887
RawFastqs/SRR13612888_1.fastq.gz	DNA	Stn2	SRR13612888
RawFastqs/SRR13612888_2.fastq.gz	DNA	Stn2	SRR13612888
RawFastqs/SRR13612889_1.fastq.gz	DNA	Stn2	SRR13612889
RawFastqs/SRR13612889_2.fastq.gz	DNA	Stn2	SRR13612889
RawFastqs/SRR13612895_1.fastq.gz	DNA	Stn1	SRR13612895
RawFastqs/SRR13612895_2.fastq.gz	DNA	Stn1	SRR13612895
RawFastqs/SRR13612896_1.fastq.gz	DNA	Stn1	SRR13612896
RawFastqs/SRR13612896_2.fastq.gz	DNA	Stn1	SRR13612896
RawFastqs/SRR13612898_1.fastq.gz	DNA	Stn1	SRR13612898
RawFastqs/SRR13612898_2.fastq.gz	DNA	Stn1	SRR13612898
RawFastqs/SRR13612903_1.fastq.gz	DNA	Stn14	SRR13612903
RawFastqs/SRR13612903_2.fastq.gz	DNA	Stn14	SRR13612903
RawFastqs/SRR13612904_1.fastq.gz	DNA	Stn14	SRR13612904
RawFastqs/SRR13612904_2.fastq.gz	DNA	Stn14	SRR13612904
RawFastqs/SRR13612905_1.fastq.gz	DNA	Stn14	SRR13612905
RawFastqs/SRR13612905_2.fastq.gz	DNA	Stn14	SRR13612905
RawFastqs/SRR13612906_1.fastq.gz	DNA	Stn14	SRR13612906
RawFastqs/SRR13612906_2.fastq.gz	DNA	Stn14	SRR13612906
