SRR1178345	SRR1178351	SRR1178352	SRR1178353	SRR1178355	SRR1178356	SRR1178357	SRR1178354	SRR1178346	SRR1178358	SRR1178347	SRR1178348	SRR1178349	SRR1178350
ASV.221	0	0	0	0	0	0	0	0	0	0	0	55	0	0
ASV.222	54	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.223	0	0	0	0	0	0	0	0	54	0	0	0	0	0
ASV.224	0	0	0	0	0	0	0	0	0	0	54	0	0	0
ASV.226	22	0	0	0	0	0	0	0	0	0	0	0	31	0
ASV.227	53	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.228	0	53	0	0	0	0	0	0	0	0	0	0	0	0
ASV.229	0	0	0	0	0	0	0	0	0	53	0	0	0	0
ASV.230	0	0	0	0	0	0	0	0	0	0	0	53	0	0
ASV.231	0	0	0	0	0	0	0	0	0	0	0	0	53	0
ASV.232	0	0	0	0	0	0	0	0	0	0	0	0	53	0
ASV.233	0	0	0	0	0	0	0	0	0	0	0	0	53	0
ASV.234	0	0	0	0	0	0	0	0	0	0	0	0	0	52
ASV.235	0	0	0	0	51	0	0	0	0	0	0	0	0	0
ASV.236	0	0	0	0	0	0	0	0	0	0	51	0	0	0
ASV.237	0	0	0	0	0	0	0	0	0	0	0	43	0	8
ASV.238	0	0	0	0	0	0	0	0	0	0	0	0	0	51
ASV.239	0	0	0	0	0	0	0	0	0	0	0	50	0	0
ASV.240	0	0	0	0	0	0	0	0	0	0	0	0	50	0
ASV.241	49	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.243	0	0	0	0	0	0	0	0	0	0	0	0	0	49
ASV.244	48	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.245	0	48	0	0	0	0	0	0	0	0	0	0	0	0
ASV.246	0	0	0	0	48	0	0	0	0	0	0	0	0	0
ASV.247	0	0	0	0	0	0	0	0	0	0	48	0	0	0
ASV.248	0	0	0	0	0	0	0	0	0	0	0	0	47	0
ASV.249	0	0	0	0	0	0	0	0	0	0	0	0	47	0
ASV.250	0	0	46	0	0	0	0	0	0	0	0	0	0	0
ASV.251	0	0	0	0	46	0	0	0	0	0	0	0	0	0
ASV.252	0	45	0	0	0	0	0	0	0	0	0	0	0	0
ASV.253	0	0	0	0	0	0	45	0	0	0	0	0	0	0
ASV.254	0	0	0	0	0	0	0	45	0	0	0	0	0	0
ASV.255	0	0	0	0	44	0	0	0	0	0	0	0	0	0
ASV.256	43	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.257	0	0	0	0	0	0	0	0	0	0	0	0	43	0
ASV.258	20	0	0	0	0	0	0	0	0	0	0	0	22	0
ASV.260	0	42	0	0	0	0	0	0	0	0	0	0	0	0
ASV.261	0	0	0	0	0	42	0	0	0	0	0	0	0	0
ASV.262	0	0	0	0	0	0	0	0	0	0	42	0	0	0
ASV.263	41	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.264	41	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.265	0	41	0	0	0	0	0	0	0	0	0	0	0	0
ASV.266	0	0	0	7	0	0	0	0	0	0	0	0	33	0
ASV.267	0	0	0	0	40	0	0	0	0	0	0	0	0	0
ASV.268	0	0	0	0	0	40	0	0	0	0	0	0	0	0
ASV.269	0	0	0	0	0	0	0	0	0	0	40	0	0	0
ASV.270	0	0	0	0	0	0	0	0	0	0	0	0	40	0
ASV.271	0	0	0	0	39	0	0	0	0	0	0	0	0	0
ASV.272	0	0	0	0	0	0	0	0	0	0	0	0	39	0
ASV.273	38	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.274	38	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.275	38	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.276	0	38	0	0	0	0	0	0	0	0	0	0	0	0
ASV.277	0	0	0	0	0	0	0	0	0	38	0	0	0	0
ASV.278	0	0	0	0	0	0	0	0	0	0	0	0	38	0
ASV.279	0	0	0	0	34	0	0	0	0	0	0	3	0	0
ASV.280	0	0	0	0	0	0	37	0	0	0	0	0	0	0
ASV.281	0	0	0	0	0	0	0	0	0	0	0	37	0	0
ASV.283	36	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.284	0	0	0	0	36	0	0	0	0	0	0	0	0	0
ASV.285	0	0	0	0	36	0	0	0	0	0	0	0	0	0
ASV.286	0	0	0	0	0	0	36	0	0	0	0	0	0	0
ASV.287	0	0	0	0	0	0	0	36	0	0	0	0	0	0
ASV.288	0	0	0	0	35	0	0	0	0	0	0	0	0	0
ASV.289	0	0	0	0	11	0	0	0	0	10	0	0	0	14
ASV.290	0	0	0	0	0	0	0	35	0	0	0	0	0	0
ASV.291	0	0	0	0	0	0	0	0	0	0	0	0	35	0
ASV.292	0	0	0	0	0	0	0	0	0	0	0	0	35	0
ASV.293	0	0	0	0	30	0	0	0	0	0	0	0	4	0
ASV.294	25	0	0	0	0	0	0	8	0	0	0	0	0	0
ASV.295	0	0	0	0	0	0	0	0	0	0	0	0	0	33
ASV.296	0	0	0	0	0	0	0	0	32	0	0	0	0	0
ASV.297	0	0	0	0	0	0	0	0	0	0	0	0	32	0
ASV.298	31	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.299	31	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.300	0	0	0	0	31	0	0	0	0	0	0	0	0	0
ASV.301	0	0	0	0	31	0	0	0	0	0	0	0	0	0
ASV.302	0	0	0	0	0	0	0	0	0	14	0	0	0	17
ASV.303	0	0	0	0	0	0	0	0	0	0	0	0	31	0
ASV.305	0	0	0	0	30	0	0	0	0	0	0	0	0	0
ASV.306	0	0	0	0	30	0	0	0	0	0	0	0	0	0
ASV.307	0	0	0	0	0	0	30	0	0	0	0	0	0	0
ASV.309	0	0	0	0	0	0	0	0	0	30	0	0	0	0
ASV.310	29	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.311	9	20	0	0	0	0	0	0	0	0	0	0	0	0
ASV.313	0	0	0	0	29	0	0	0	0	0	0	0	0	0
ASV.314	0	0	0	0	0	0	0	0	12	0	0	0	17	0
ASV.315	0	0	0	0	0	0	0	0	29	0	0	0	0	0
ASV.316	0	0	0	0	0	0	0	0	0	0	0	0	18	11
ASV.317	0	0	0	0	0	0	0	0	0	0	0	0	29	0
ASV.318	28	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.319	0	28	0	0	0	0	0	0	0	0	0	0	0	0
ASV.320	0	0	10	0	18	0	0	0	0	0	0	0	0	0
ASV.321	0	0	0	0	0	0	28	0	0	0	0	0	0	0
ASV.322	0	0	0	0	0	0	0	28	0	0	0	0	0	0
ASV.324	0	0	0	0	0	0	0	0	0	0	28	0	0	0
ASV.328	0	0	0	0	0	0	0	0	27	0	0	0	0	0
ASV.329	0	0	0	0	0	0	0	0	0	0	0	0	27	0
ASV.330	0	0	0	0	0	0	0	0	0	0	0	0	27	0
ASV.331	0	26	0	0	0	0	0	0	0	0	0	0	0	0
ASV.332	0	0	26	0	0	0	0	0	0	0	0	0	0	0
ASV.334	0	0	0	0	0	0	0	0	26	0	0	0	0	0
ASV.335	0	0	0	0	0	0	0	0	0	0	26	0	0	0
ASV.336	0	0	0	0	0	0	0	0	0	0	0	0	26	0
ASV.338	0	0	0	0	0	0	0	0	0	0	25	0	0	0
ASV.339	0	0	0	0	0	0	0	0	0	0	0	0	25	0
ASV.340	24	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.341	0	0	0	0	24	0	0	0	0	0	0	0	0	0
ASV.342	0	0	0	0	8	16	0	0	0	0	0	0	0	0
ASV.343	0	0	0	0	0	0	19	0	0	5	0	0	0	0
ASV.344	0	0	0	0	0	0	0	0	0	24	0	0	0	0
ASV.345	0	0	0	0	0	0	0	0	0	0	24	0	0	0
ASV.346	0	0	0	0	0	0	0	0	0	0	0	0	24	0
ASV.347	23	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.349	0	0	0	0	23	0	0	0	0	0	0	0	0	0
ASV.350	0	0	0	0	13	0	0	0	0	0	0	0	10	0
ASV.351	0	0	0	0	0	0	0	0	23	0	0	0	0	0
ASV.352	0	0	0	0	0	0	0	0	23	0	0	0	0	0
ASV.353	0	0	0	0	0	0	0	0	0	0	0	0	23	0
ASV.354	0	0	0	0	0	0	0	0	0	0	0	0	23	0
ASV.355	0	0	0	0	0	0	0	0	0	0	0	0	23	0
ASV.356	0	0	0	0	0	0	0	0	0	0	0	0	0	23
ASV.357	22	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.358	0	0	0	22	0	0	0	0	0	0	0	0	0	0
ASV.360	0	0	0	0	0	0	0	0	22	0	0	0	0	0
ASV.361	21	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.362	0	21	0	0	0	0	0	0	0	0	0	0	0	0
ASV.363	0	0	0	21	0	0	0	0	0	0	0	0	0	0
ASV.364	0	0	0	0	21	0	0	0	0	0	0	0	0	0
ASV.366	0	0	0	0	0	0	0	0	0	0	0	21	0	0
ASV.367	0	0	0	0	0	0	0	0	0	0	0	0	0	21
