DRR075661	DRR075662	DRR075664	DRR075667	DRR075670	DRR075673	DRR075654	DRR075657
ASV.0397	0	2	0	0	0	0	0	0
ASV.0398	0	2	0	0	0	0	0	0
ASV.0399	0	2	0	0	0	0	0	0
ASV.0400	0	2	0	0	0	0	0	0
ASV.0401	0	2	0	0	0	0	0	0
ASV.0402	0	2	0	0	0	0	0	0
ASV.0403	0	2	0	0	0	0	0	0
ASV.0404	0	2	0	0	0	0	0	0
ASV.0405	0	2	0	0	0	0	0	0
ASV.0406	0	2	0	0	0	0	0	0
ASV.0407	0	0	0	0	0	2	0	0
ASV.0408	0	0	0	0	0	2	0	0
ASV.0409	0	0	0	0	0	2	0	0
ASV.0410	0	0	0	0	0	0	2	0
ASV.0411	0	0	0	0	0	0	2	0
ASV.0412	0	0	0	0	0	0	2	0
ASV.0413	0	0	0	0	0	0	2	0
ASV.0414	0	0	0	0	0	0	2	0
ASV.0415	0	0	0	0	0	0	2	0
ASV.0416	0	0	0	0	0	0	2	0
ASV.0417	0	0	0	0	0	0	2	0
ASV.0418	0	0	0	0	0	0	2	0
ASV.0419	0	0	0	0	0	0	2	0
ASV.0420	0	0	0	0	0	0	2	0
ASV.0421	0	0	0	0	0	0	2	0
ASV.0422	0	0	0	0	0	0	2	0
ASV.0423	0	0	0	0	0	0	2	0
ASV.0424	0	0	0	0	0	0	2	0
ASV.0425	0	0	0	0	0	0	2	0
ASV.0426	0	0	0	0	0	0	2	0
ASV.0427	0	0	0	0	0	0	2	0
ASV.0428	0	0	0	0	0	0	2	0
ASV.0429	0	0	0	0	0	0	2	0
ASV.0430	0	0	0	0	0	0	2	0
ASV.0431	0	0	0	0	0	0	2	0
ASV.0432	0	0	0	0	0	0	2	0
ASV.0433	0	0	0	0	0	0	2	0
ASV.0434	0	0	0	0	0	0	2	0
ASV.0435	0	0	0	0	0	0	2	0
ASV.0436	0	0	0	0	0	0	2	0
ASV.0437	0	0	0	0	0	0	2	0
ASV.0438	0	0	0	0	0	0	2	0
ASV.0439	0	0	0	0	0	0	2	0
ASV.0440	0	0	0	0	0	0	2	0
ASV.0441	0	0	0	0	0	0	2	0
ASV.0442	0	0	0	0	0	0	2	0
ASV.0443	0	0	0	0	0	0	2	0
ASV.0444	0	0	0	0	0	0	2	0
ASV.0445	0	0	0	0	0	0	2	0
ASV.0446	0	0	0	0	0	0	2	0
ASV.0447	0	0	0	0	0	0	2	0
ASV.0448	0	0	0	0	0	0	2	0
ASV.0449	0	0	0	0	0	0	2	0
ASV.0450	0	0	0	0	0	0	2	0
ASV.0451	0	0	0	0	0	0	2	0
ASV.0452	0	0	0	0	0	0	2	0
ASV.0453	0	0	0	0	0	0	2	0
ASV.0454	0	0	0	0	0	0	2	0
ASV.0455	0	0	0	0	0	0	2	0
ASV.0456	0	0	0	0	0	0	2	0
ASV.0457	0	0	0	0	0	0	2	0
ASV.0458	0	0	0	0	0	0	2	0
ASV.0459	0	0	0	0	0	0	0	2
ASV.0460	0	0	0	0	0	0	0	2
ASV.0461	0	0	0	0	0	0	0	2
ASV.0462	0	0	0	0	0	0	0	2
ASV.0463	0	2	0	0	0	0	0	0
ASV.0464	0	2	0	0	0	0	0	0
ASV.0465	0	2	0	0	0	0	0	0
ASV.0466	0	2	0	0	0	0	0	0
ASV.0467	0	2	0	0	0	0	0	0
ASV.0468	0	2	0	0	0	0	0	0
ASV.0469	0	2	0	0	0	0	0	0
ASV.0470	0	2	0	0	0	0	0	0
ASV.0471	0	2	0	0	0	0	0	0
ASV.0472	0	2	0	0	0	0	0	0
ASV.0473	0	2	0	0	0	0	0	0
ASV.0474	0	2	0	0	0	0	0	0
ASV.0475	0	2	0	0	0	0	0	0
ASV.0476	0	2	0	0	0	0	0	0
ASV.0477	0	2	0	0	0	0	0	0
ASV.0478	0	2	0	0	0	0	0	0
ASV.0479	0	2	0	0	0	0	0	0
ASV.0480	0	2	0	0	0	0	0	0
ASV.0481	0	2	0	0	0	0	0	0
ASV.0482	0	2	0	0	0	0	0	0
ASV.0483	0	2	0	0	0	0	0	0
ASV.0484	0	0	0	0	0	2	0	0
ASV.0485	0	0	0	0	0	2	0	0
ASV.0486	0	0	0	0	0	2	0	0
ASV.0487	0	0	0	0	0	2	0	0
ASV.0488	0	0	0	0	0	2	0	0
ASV.0489	0	0	0	0	0	2	0	0
ASV.0490	0	0	0	0	0	2	0	0
ASV.0491	0	0	0	0	0	2	0	0
ASV.0492	0	0	0	0	0	2	0	0
ASV.0493	0	0	0	0	0	0	2	0
ASV.0494	0	0	0	0	0	0	2	0
ASV.0495	0	0	0	0	0	0	2	0
ASV.0496	0	0	0	0	0	0	2	0
ASV.0497	0	0	0	0	0	0	2	0
ASV.0498	0	0	0	0	0	0	2	0
ASV.0499	0	0	0	0	0	0	2	0
ASV.0500	0	0	0	0	0	0	2	0
ASV.0501	0	0	0	0	0	0	2	0
ASV.0502	0	0	0	0	0	0	2	0
ASV.0503	0	0	0	0	0	0	2	0
ASV.0504	0	0	0	0	0	0	2	0
ASV.0505	0	0	0	0	0	0	2	0
ASV.0506	0	0	0	0	0	0	2	0
ASV.0507	0	0	0	0	0	0	2	0
ASV.0508	0	0	0	0	0	0	2	0
ASV.0509	0	0	0	0	0	0	2	0
ASV.0510	0	0	0	0	0	0	2	0
ASV.0511	0	0	0	0	0	0	2	0
ASV.0512	0	0	0	0	0	0	2	0
ASV.0513	0	0	0	0	0	0	2	0
ASV.0514	0	0	0	0	0	0	2	0
ASV.0515	0	0	0	0	0	0	2	0
ASV.0516	0	0	0	0	0	0	2	0
ASV.0517	0	0	0	0	0	0	2	0
ASV.0518	0	0	0	0	0	0	2	0
ASV.0519	0	0	0	0	0	0	2	0
ASV.0520	0	0	0	0	0	0	0	2
