SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.500	0	0	0	0	0	59	0	0	0	0	0	0	0	0
ASV.501	0	0	0	0	0	0	0	59	0	0	0	0	0	0
ASV.502	0	0	0	0	0	0	0	0	0	59	0	0	0	0
ASV.506	26	0	0	0	0	0	0	0	32	0	0	0	0	0
ASV.507	58	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.508	0	11	0	37	0	0	0	0	0	0	0	10	0	0
ASV.515	0	0	0	0	0	0	0	58	0	0	0	0	0	0
ASV.516	0	0	0	0	0	0	0	41	0	17	0	0	0	0
ASV.517	0	0	0	0	0	0	0	0	0	0	0	0	0	58
ASV.522	0	0	0	0	0	57	0	0	0	0	0	0	0	0
ASV.524	0	0	0	0	0	0	0	0	0	57	0	0	0	0
ASV.526	0	0	0	0	0	56	0	0	0	0	0	0	0	0
ASV.528	0	0	0	0	0	0	0	0	0	0	0	0	0	56
ASV.530	0	0	0	0	0	0	0	55	0	0	0	0	0	0
ASV.531	0	0	0	0	0	0	0	55	0	0	0	0	0	0
ASV.538	0	0	0	0	0	0	0	0	0	0	0	0	0	54
ASV.539	0	2	0	51	0	0	0	0	0	0	0	0	0	0
ASV.542	0	0	0	0	0	53	0	0	0	0	0	0	0	0
ASV.543	0	0	0	0	0	53	0	0	0	0	0	0	0	0
ASV.547	52	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.549	0	32	0	20	0	0	0	0	0	0	0	0	0	0
ASV.552	0	0	0	0	0	0	0	52	0	0	0	0	0	0
ASV.553	0	0	0	0	0	0	0	52	0	0	0	0	0	0
ASV.554	0	0	0	0	0	0	0	52	0	0	0	0	0	0
ASV.555	0	0	0	0	0	0	0	52	0	0	0	0	0	0
ASV.556	0	0	0	0	0	0	0	0	0	52	0	0	0	0
ASV.557	0	0	0	0	0	0	0	0	0	52	0	0	0	0
ASV.558	0	0	0	0	0	0	0	0	0	52	0	0	0	0
ASV.566	0	0	0	0	0	51	0	0	0	0	0	0	0	0
ASV.570	0	0	0	0	0	0	0	0	0	51	0	0	0	0
