DRR090493	DRR090494	DRR090495	DRR090496	DRR090497	DRR090498	DRR090499	DRR090500	DRR090501	DRR090502	DRR090503	DRR090504	DRR090505	DRR090506	DRR090507	DRR090508	DRR090509	DRR090510	DRR090511	DRR090512
ASV.206	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.207	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512
ASV.210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	0	0	0
ASV.212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	143	0
ASV.215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	114	0	0
ASV.216	0	0	0	0	0	0	0	0	0	0	0	0	0	489	0	0	0	0	0	0
ASV.217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487
ASV.219	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	105	0	0	0
ASV.220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0
ASV.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0	0
ASV.234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	0	0	0
ASV.235	0	0	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV.236	0	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	0	0	0
ASV.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	91	135	0
ASV.243	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	102	0	0
ASV.248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0
ASV.250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0	0
ASV.252	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0
ASV.256	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0
ASV.262	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.263	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0
ASV.264	0	0	0	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0
ASV.269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0
ASV.271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0
ASV.272	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.273	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.274	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	206
ASV.276	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0
ASV.278	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
ASV.281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0
ASV.283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	212
ASV.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0
ASV.286	0	0	47	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0
ASV.292	0	0	0	60	108	0	0	0	0	0	0	0	0	0	0	0	96	23	38	0
ASV.293	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59
ASV.297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0
ASV.299	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.300	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.302	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0
ASV.305	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	90
ASV.316	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0
ASV.317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0
ASV.318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287
ASV.320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0
ASV.328	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272
ASV.331	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0
ASV.333	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0
ASV.337	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0
ASV.340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	42
ASV.341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259
ASV.343	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.345	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	203	0	0
