SampleWF,Sample,Study,tag,ReadsPipeline,ReadsGatherAsvs,ReadsFilterAuids.Rare,ReadsFilterAuids.NonNifH,ReadsFilterAuids.Length
Harding_2018.3.no_SRA___Harding181.65457_S181,Harding181.65457_S181,Harding_2018,Harding_2018:3:no_SRA, 25308, 23704, 22461, 22409, 22393
Harding_2018.3.no_SRA___Harding183.65465_S183,Harding183.65465_S183,Harding_2018,Harding_2018:3:no_SRA, 17939, 16812, 16494, 16494, 16380
Harding_2018.3.no_SRA___Harding185.65473_S185,Harding185.65473_S185,Harding_2018,Harding_2018:3:no_SRA, 15243, 12107, 10467, 10452, 10301
Harding_2018.3.no_SRA___Harding187.65481_S187,Harding187.65481_S187,Harding_2018,Harding_2018:3:no_SRA, 27388, 26670, 26231, 26231, 26179
Harding_2018.3.no_SRA___Harding188.65489_S188,Harding188.65489_S188,Harding_2018,Harding_2018:3:no_SRA, 23950, 22908, 19970, 19970, 19862
Harding_2018.3.no_SRA___Harding190.65509_S190,Harding190.65509_S190,Harding_2018,Harding_2018:3:no_SRA, 21349, 19981, 18604, 18604, 18507
Harding_2018.3.no_SRA___Harding192.65521_S192,Harding192.65521_S192,Harding_2018,Harding_2018:3:no_SRA, 37138, 33995, 31856, 31709, 31493
Harding_2018.3.no_SRA___Harding193.65531_S193,Harding193.65531_S193,Harding_2018,Harding_2018:3:no_SRA, 21377, 18160, 17161, 17021, 16919
Harding_2018.3.no_SRA___Harding195.65545_S195,Harding195.65545_S195,Harding_2018,Harding_2018:3:no_SRA, 12675,  5707,  5642,  5361,  4636
Harding_2018.3.no_SRA___Harding197.65547_S197,Harding197.65547_S197,Harding_2018,Harding_2018:3:no_SRA, 14436,  9735,  9304,  9247,  8541
Harding_2018.3.no_SRA___Harding200.65566_S200,Harding200.65566_S200,Harding_2018,Harding_2018:3:no_SRA, 36986, 33762, 33321, 32979, 32270
Harding_2018.3.no_SRA___Harding202.65574_S202,Harding202.65574_S202,Harding_2018,Harding_2018:3:no_SRA, 22846, 22286, 21553, 21553, 21462
Harding_2018.3.no_SRA___Harding204.65582_S204,Harding204.65582_S204,Harding_2018,Harding_2018:3:no_SRA, 25878, 25299, 24552, 24402, 24268
Harding_2018.3.no_SRA___Harding206.65590_S206,Harding206.65590_S206,Harding_2018,Harding_2018:3:no_SRA,     0,     0,     0,     0,     0
Harding_2018.3.no_SRA___Harding208.65598_S208,Harding208.65598_S208,Harding_2018,Harding_2018:3:no_SRA, 33383, 31447, 31018, 30792, 30336
Harding_2018.3.no_SRA___Harding209.65606_S209,Harding209.65606_S209,Harding_2018,Harding_2018:3:no_SRA, 19621, 18402, 17415, 17415, 17232
Harding_2018.3.no_SRA___Harding211.65638_S211,Harding211.65638_S211,Harding_2018,Harding_2018:3:no_SRA, 21145, 21110, 18932, 18932, 18919
Harding_2018.3.no_SRA___Harding213.65646_S213,Harding213.65646_S213,Harding_2018,Harding_2018:3:no_SRA, 25711, 24919, 21581, 21581, 21318
Harding_2018.3.no_SRA___Harding220.66622_S220,Harding220.66622_S220,Harding_2018,Harding_2018:3:no_SRA, 14038, 13765, 13163, 13163, 13163
Harding_2018.3.no_SRA___Harding221.66630_S221,Harding221.66630_S221,Harding_2018,Harding_2018:3:no_SRA, 15319, 14716, 12090, 12090, 12083
Harding_2018.3.no_SRA___Harding224.66679_S224,Harding224.66679_S224,Harding_2018,Harding_2018:3:no_SRA, 29161, 27617, 27076, 27076, 27052
Harding_2018.3.no_SRA___Harding226.66688_S226,Harding226.66688_S226,Harding_2018,Harding_2018:3:no_SRA, 31533, 31158, 30043, 29946, 29626
Harding_2018.3.no_SRA___Harding227.66696_S227,Harding227.66696_S227,Harding_2018,Harding_2018:3:no_SRA, 26053, 25536, 22533, 22508, 22366
Harding_2018.3.no_SRA___Harding229.66705_S229,Harding229.66705_S229,Harding_2018,Harding_2018:3:no_SRA, 35085, 30199, 29874, 27147, 26805
Mulholland_2018.1.SRP377046___SRR19399856,SRR19399856,Mulholland_2018,Mulholland_2018:1:SRP377046,252135,249910,247801,246159,238233
Mulholland_2018.1.SRP377046___SRR19399857,SRR19399857,Mulholland_2018,Mulholland_2018:1:SRP377046,131023,127151,122513,119495,112648
Mulholland_2018.1.SRP377046___SRR19399858,SRR19399858,Mulholland_2018,Mulholland_2018:1:SRP377046, 88365, 88022, 88022, 87764, 87352
Mulholland_2018.1.SRP377046___SRR19399859,SRR19399859,Mulholland_2018,Mulholland_2018:1:SRP377046,126281,125934,125923,125635,125522
Mulholland_2018.1.SRP377046___SRR19399860,SRR19399860,Mulholland_2018,Mulholland_2018:1:SRP377046,152208,149993,143172,138373,130859
Mulholland_2018.1.SRP377046___SRR19399861,SRR19399861,Mulholland_2018,Mulholland_2018:1:SRP377046, 50171, 50169, 50170, 49970, 49595
Mulholland_2018.1.SRP377046___SRR19399862,SRR19399862,Mulholland_2018,Mulholland_2018:1:SRP377046,129452,129076,129033,128885,128627
Mulholland_2018.1.SRP377046___SRR19399863,SRR19399863,Mulholland_2018,Mulholland_2018:1:SRP377046,102489, 51345, 39205, 33192, 29073
Mulholland_2018.1.SRP377046___SRR19399864,SRR19399864,Mulholland_2018,Mulholland_2018:1:SRP377046, 50393, 17617, 16986, 16321, 15172
Mulholland_2018.1.SRP377046___SRR19399865,SRR19399865,Mulholland_2018,Mulholland_2018:1:SRP377046,142793, 61994, 53981, 49026, 38304
Mulholland_2018.1.SRP377046___SRR19399866,SRR19399866,Mulholland_2018,Mulholland_2018:1:SRP377046,160146,158049,157897,157420,156649
Mulholland_2018.1.SRP377046___SRR19399867,SRR19399867,Mulholland_2018,Mulholland_2018:1:SRP377046,140680, 50912, 36710, 32129, 24794
Mulholland_2018.1.SRP377046___SRR19399868,SRR19399868,Mulholland_2018,Mulholland_2018:1:SRP377046,140643,115168,113768,112505,107307
Mulholland_2018.1.SRP377046___SRR19399869,SRR19399869,Mulholland_2018,Mulholland_2018:1:SRP377046, 74134, 62995, 61718, 60845, 57931
Mulholland_2018.1.SRP377046___SRR19399870,SRR19399870,Mulholland_2018,Mulholland_2018:1:SRP377046,    34,    34,     0,     0,     0
Mulholland_2018.1.SRP377046___SRR19399871,SRR19399871,Mulholland_2018,Mulholland_2018:1:SRP377046, 87948, 32843, 31838, 31262, 29511
Mulholland_2018.1.SRP377046___SRR19399872,SRR19399872,Mulholland_2018,Mulholland_2018:1:SRP377046, 86394, 86367, 86367, 86340, 86340
Mulholland_2018.1.SRP377046___SRR19399873,SRR19399873,Mulholland_2018,Mulholland_2018:1:SRP377046, 62382, 36105, 34666, 33757, 32771
Mulholland_2018.1.SRP377046___SRR19399874,SRR19399874,Mulholland_2018,Mulholland_2018:1:SRP377046, 54682, 26125, 19787, 18363, 15588
Mulholland_2018.1.SRP377046___SRR19399875,SRR19399875,Mulholland_2018,Mulholland_2018:1:SRP377046, 57574, 48514, 48277, 48002, 46946
Mulholland_2018.1.SRP377046___SRR19399876,SRR19399876,Mulholland_2018,Mulholland_2018:1:SRP377046,124439,120017,115740,100388, 95399
Mulholland_2018.1.SRP377046___SRR19399877,SRR19399877,Mulholland_2018,Mulholland_2018:1:SRP377046,167653,167607,167600,167455,167388
Mulholland_2018.1.SRP377046___SRR19399878,SRR19399878,Mulholland_2018,Mulholland_2018:1:SRP377046, 66570, 65462, 65286, 64868, 63058
Mulholland_2018.1.SRP377046___SRR19399879,SRR19399879,Mulholland_2018,Mulholland_2018:1:SRP377046,148315,146503,139083,119367,115392
Mulholland_2018.1.SRP377046___SRR19399880,SRR19399880,Mulholland_2018,Mulholland_2018:1:SRP377046,138074,138046,136848,136736,136203
Mulholland_2018.1.SRP377046___SRR19399881,SRR19399881,Mulholland_2018,Mulholland_2018:1:SRP377046,140026,140013,139619,139536,139383
Mulholland_2018.1.SRP377046___SRR19399882,SRR19399882,Mulholland_2018,Mulholland_2018:1:SRP377046, 91173, 89297, 88833, 88629, 86635
Mulholland_2018.1.SRP377046___SRR19399883,SRR19399883,Mulholland_2018,Mulholland_2018:1:SRP377046, 87550, 78193, 73786, 65653, 28244
Mulholland_2018.1.SRP377046___SRR19399884,SRR19399884,Mulholland_2018,Mulholland_2018:1:SRP377046, 85597, 85532, 85504, 85448, 85371
NEMO.1.no_SRA___Turk001.60663,Turk001.60663,NEMO,NEMO:1:no_SRA, 45172, 45071, 44245, 44245, 44245
NEMO.1.no_SRA___Turk002.60836,Turk002.60836,NEMO,NEMO:1:no_SRA, 19086, 12431, 10736, 10388,  9092
NEMO.1.no_SRA___Turk003.64283,Turk003.64283,NEMO,NEMO:1:no_SRA, 42596, 40435, 40371, 40312, 40219
NEMO.1.no_SRA___Turk004.61107,Turk004.61107,NEMO,NEMO:1:no_SRA, 30081, 29363, 29352, 29311, 29305
NEMO.1.no_SRA___Turk005.61293,Turk005.61293,NEMO,NEMO:1:no_SRA, 44236, 40994, 40854, 40697, 40347
NEMO.1.no_SRA___Turk006.61492,Turk006.61492,NEMO,NEMO:1:no_SRA, 29314, 25626, 24380, 23973, 21185
NEMO.1.no_SRA___Turk007.61980,Turk007.61980,NEMO,NEMO:1:no_SRA, 49878, 43665, 43438, 43256, 42071
NEMO.1.no_SRA___Turk010.60665,Turk010.60665,NEMO,NEMO:1:no_SRA, 47245, 46655, 46637, 46637, 46628
NEMO.1.no_SRA___Turk011.60838,Turk011.60838,NEMO,NEMO:1:no_SRA, 16370,  4307,  3844,  3292,  1900
NEMO.1.no_SRA___Turk012.64287,Turk012.64287,NEMO,NEMO:1:no_SRA, 30599, 27584, 27476, 26960, 25701
NEMO.1.no_SRA___Turk013.61115,Turk013.61115,NEMO,NEMO:1:no_SRA, 21976, 20426, 19298, 18925, 17097
NEMO.1.no_SRA___Turk014.61297,Turk014.61297,NEMO,NEMO:1:no_SRA, 35922, 30911, 29954, 29730, 29245
NEMO.1.no_SRA___Turk015.61600,Turk015.61600,NEMO,NEMO:1:no_SRA, 41462, 28299, 27914, 27518, 26907
NEMO.1.no_SRA___Turk016.62051,Turk016.62051,NEMO,NEMO:1:no_SRA, 42260, 38864, 38854, 38748, 38748
NEMO.1.no_SRA___Turk019.60667,Turk019.60667,NEMO,NEMO:1:no_SRA, 33653, 33508, 33333, 33329, 33329
NEMO.1.no_SRA___Turk020.60875,Turk020.60875,NEMO,NEMO:1:no_SRA, 36687, 34435, 34422, 34422, 34391
NEMO.1.no_SRA___Turk021.64291,Turk021.64291,NEMO,NEMO:1:no_SRA, 23950, 22938, 22906, 22872, 22872
NEMO.1.no_SRA___Turk022.61155,Turk022.61155,NEMO,NEMO:1:no_SRA, 35822, 34848, 34785, 34698, 34691
NEMO.1.no_SRA___Turk023.61301,Turk023.61301,NEMO,NEMO:1:no_SRA, 28128, 26199, 26145, 26131, 25956
NEMO.1.no_SRA___Turk024.61604,Turk024.61604,NEMO,NEMO:1:no_SRA, 27831, 24172, 23296, 23102, 22395
NEMO.1.no_SRA___Turk025.62059,Turk025.62059,NEMO,NEMO:1:no_SRA, 50286, 42935, 42511, 42308, 41420
NEMO.1.no_SRA___Turk028.60690,Turk028.60690,NEMO,NEMO:1:no_SRA, 19079,  9124,  8589,  8307,  7826
NEMO.1.no_SRA___Turk029.60883,Turk029.60883,NEMO,NEMO:1:no_SRA, 33048, 30521, 29691, 29498, 26407
NEMO.1.no_SRA___Turk030.64295,Turk030.64295,NEMO,NEMO:1:no_SRA, 42329, 41274, 41274, 41217, 41209
