SampleWF,Sample,Study,tag,ReadsPipeline,ReadsGatherAsvs,ReadsFilterAuids.Rare,ReadsFilterAuids.NonNifH,ReadsFilterAuids.Length
Gradoville_2020.3.SRP190508___Gradoville55.68715,Gradoville55.68715,Gradoville_2020,Gradoville_2020:3:SRP190508, 10931,  6822,  6561,  3572,  3052
Gradoville_2020.3.SRP190508___Gradoville56.68741,Gradoville56.68741,Gradoville_2020,Gradoville_2020:3:SRP190508, 13158,  7773,  7585,  3998,  3570
Gradoville_2020.3.SRP190508___Gradoville57.68742,Gradoville57.68742,Gradoville_2020,Gradoville_2020:3:SRP190508, 14744,  8965,  8578,  4518,  3812
Gradoville_2020.3.SRP190508___Gradoville58.68748,Gradoville58.68748,Gradoville_2020,Gradoville_2020:3:SRP190508, 14746,  9442,  8191,  5519,  4638
Gradoville_2020.3.SRP190508___Gradoville59.68766,Gradoville59.68766,Gradoville_2020,Gradoville_2020:3:SRP190508,  9269,  6865,  6092,  4387,  1386
Gradoville_2020.3.SRP190508___Gradoville60.68767,Gradoville60.68767,Gradoville_2020,Gradoville_2020:3:SRP190508, 14319,  8732,  8483,  5647,  5027
Gradoville_2020.3.SRP190508___Gradoville61.68768,Gradoville61.68768,Gradoville_2020,Gradoville_2020:3:SRP190508, 18150, 10709, 10320,  5833,  5152
Gradoville_2020.3.SRP190508___Gradoville62.68773,Gradoville62.68773,Gradoville_2020,Gradoville_2020:3:SRP190508, 14301,  9910,  9769,  7413,  6843
Gradoville_2020.3.SRP190508___Gradoville63.68775,Gradoville63.68775,Gradoville_2020,Gradoville_2020:3:SRP190508, 15925,  7665,  7198,  4611,  3868
Gradoville_2020.3.SRP190508___Gradoville64.68777,Gradoville64.68777,Gradoville_2020,Gradoville_2020:3:SRP190508, 11291, 10124,  9160,  7550,  1205
Gradoville_2020.3.SRP190508___Gradoville65.68778,Gradoville65.68778,Gradoville_2020,Gradoville_2020:3:SRP190508, 10358,  9465,  8247,  6630,   958
Gradoville_2020.3.SRP190508___Gradoville66.68789,Gradoville66.68789,Gradoville_2020,Gradoville_2020:3:SRP190508, 18667, 16338, 14894, 11430, 10692
Gradoville_2020.3.SRP190508___Gradoville67.68790,Gradoville67.68790,Gradoville_2020,Gradoville_2020:3:SRP190508, 13245, 11240,  9577,  5886,  4710
Gradoville_2020.3.SRP190508___Gradoville68.68819,Gradoville68.68819,Gradoville_2020,Gradoville_2020:3:SRP190508, 17865, 15306, 14415, 11742, 10742
Gradoville_2020.3.SRP190508___Gradoville69.68820,Gradoville69.68820,Gradoville_2020,Gradoville_2020:3:SRP190508,  7834,  5951,  4787,  3094,  2559
Gradoville_2020.3.SRP190508___Gradoville70.68825,Gradoville70.68825,Gradoville_2020,Gradoville_2020:3:SRP190508, 10290,  7933,  7673,  4518,  3277
Gradoville_2020.3.SRP190508___Gradoville71.68826,Gradoville71.68826,Gradoville_2020,Gradoville_2020:3:SRP190508,  7752,  5288,  5026,  3092,  2348
Gradoville_2020.3.SRP190508___Gradoville72.68833,Gradoville72.68833,Gradoville_2020,Gradoville_2020:3:SRP190508,  7257,  6700,  6409,  4870,  3461
Gradoville_2020.3.SRP190508___Gradoville73.68834,Gradoville73.68834,Gradoville_2020,Gradoville_2020:3:SRP190508, 13756, 13208, 12957, 10699,  8866
Gradoville_2020.3.SRP190508___Gradoville74.68843,Gradoville74.68843,Gradoville_2020,Gradoville_2020:3:SRP190508, 17842, 16097, 14958, 10799,  4148
Gradoville_2020.3.SRP190508___Gradoville75.68844,Gradoville75.68844,Gradoville_2020,Gradoville_2020:3:SRP190508, 12474, 10896, 10314,  7451,  2640
Gradoville_2020.3.SRP190508___Gradoville93.68869,Gradoville93.68869,Gradoville_2020,Gradoville_2020:3:SRP190508, 18983, 18258, 17864, 12851,  4223
Gradoville_2020.3.SRP190508___Gradoville94.68870,Gradoville94.68870,Gradoville_2020,Gradoville_2020:3:SRP190508, 15138, 14439, 12299,  8986,  2480
Gradoville_2020.3.SRP190508___Gradoville95.68871,Gradoville95.68871,Gradoville_2020,Gradoville_2020:3:SRP190508, 18254, 15968, 14795, 11712,  6732
Gradoville_2020.3.SRP190508___Gradoville96.68879,Gradoville96.68879,Gradoville_2020,Gradoville_2020:3:SRP190508, 27196, 26925, 26834, 25801, 24181
Gradoville_2020.3.SRP190508___Gradoville97.68880,Gradoville97.68880,Gradoville_2020,Gradoville_2020:3:SRP190508, 21824, 21721, 21593, 20622, 19426
Gradoville_2020.4.SRP190508___Gradoville1.68484,Gradoville1.68484,Gradoville_2020,Gradoville_2020:4:SRP190508, 25140, 25122, 25098, 25098, 25098
Gradoville_2020.4.SRP190508___Gradoville10.68505,Gradoville10.68505,Gradoville_2020,Gradoville_2020:4:SRP190508, 42177, 42162, 42161, 42154, 42150
Gradoville_2020.4.SRP190508___Gradoville100.68895,Gradoville100.68895,Gradoville_2020,Gradoville_2020:4:SRP190508, 13629, 13489, 12665, 12267, 11844
Gradoville_2020.4.SRP190508___Gradoville101.68896,Gradoville101.68896,Gradoville_2020,Gradoville_2020:4:SRP190508, 13757, 13618, 12753, 12120, 11089
Gradoville_2020.4.SRP190508___Gradoville102.68897,Gradoville102.68897,Gradoville_2020,Gradoville_2020:4:SRP190508,  8371,  8327,  8167,  8167,  8011
Gradoville_2020.4.SRP190508___Gradoville103.68898,Gradoville103.68898,Gradoville_2020,Gradoville_2020:4:SRP190508, 12050, 11933, 11725, 11618, 11326
Gradoville_2020.4.SRP190508___Gradoville104.68899,Gradoville104.68899,Gradoville_2020,Gradoville_2020:4:SRP190508,  5571,  5558,  5545,  5545,  5518
Gradoville_2020.4.SRP190508___Gradoville105.68900,Gradoville105.68900,Gradoville_2020,Gradoville_2020:4:SRP190508, 19467, 19412, 19307, 19257, 18999
Gradoville_2020.4.SRP190508___Gradoville106.68901,Gradoville106.68901,Gradoville_2020,Gradoville_2020:4:SRP190508, 10776, 10537, 10349, 10123,  9768
Gradoville_2020.4.SRP190508___Gradoville107.68902,Gradoville107.68902,Gradoville_2020,Gradoville_2020:4:SRP190508,  7419,  7359,  7349,  7319,  7173
Gradoville_2020.4.SRP190508___Gradoville108.68907,Gradoville108.68907,Gradoville_2020,Gradoville_2020:4:SRP190508, 12628, 12628, 12580, 12578, 12552
Gradoville_2020.4.SRP190508___Gradoville109.68908,Gradoville109.68908,Gradoville_2020,Gradoville_2020:4:SRP190508,  6793,  6793,  6793,  6793,  6793
Gradoville_2020.4.SRP190508___Gradoville11.68506,Gradoville11.68506,Gradoville_2020,Gradoville_2020:4:SRP190508, 19257, 18971, 17746, 17519, 13246
Gradoville_2020.4.SRP190508___Gradoville110.68913,Gradoville110.68913,Gradoville_2020,Gradoville_2020:4:SRP190508, 18647, 18647, 18642, 18640, 18618
Gradoville_2020.4.SRP190508___Gradoville111.68914,Gradoville111.68914,Gradoville_2020,Gradoville_2020:4:SRP190508, 11835, 11835, 11835, 11835, 11835
Gradoville_2020.4.SRP190508___Gradoville112.68925,Gradoville112.68925,Gradoville_2020,Gradoville_2020:4:SRP190508, 14658, 14588, 14189, 14067, 13331
Gradoville_2020.4.SRP190508___Gradoville113.68926,Gradoville113.68926,Gradoville_2020,Gradoville_2020:4:SRP190508,  9037,  8904,  8655,  8457,  7463
Gradoville_2020.4.SRP190508___Gradoville114.68927,Gradoville114.68927,Gradoville_2020,Gradoville_2020:4:SRP190508,  2151,  2151,  2149,  2149,  2146
Gradoville_2020.4.SRP190508___Gradoville115.68928,Gradoville115.68928,Gradoville_2020,Gradoville_2020:4:SRP190508,  6943,  6936,  6930,  6925,  6894
Gradoville_2020.4.SRP190508___Gradoville116.68929,Gradoville116.68929,Gradoville_2020,Gradoville_2020:4:SRP190508, 10326, 10232, 10113, 10090,  9326
Gradoville_2020.4.SRP190508___Gradoville117.68930,Gradoville117.68930,Gradoville_2020,Gradoville_2020:4:SRP190508, 15612, 15401, 15004, 14907, 13428
Gradoville_2020.4.SRP190508___Gradoville118.68935,Gradoville118.68935,Gradoville_2020,Gradoville_2020:4:SRP190508, 15054, 15050, 15044, 15037, 14996
Gradoville_2020.4.SRP190508___Gradoville119.68936,Gradoville119.68936,Gradoville_2020,Gradoville_2020:4:SRP190508, 13370, 13365, 13360, 13356, 13273
Gradoville_2020.4.SRP190508___Gradoville12.68507,Gradoville12.68507,Gradoville_2020,Gradoville_2020:4:SRP190508, 18121, 18008, 16711, 16619, 13119
Gradoville_2020.4.SRP190508___Gradoville120.68937,Gradoville120.68937,Gradoville_2020,Gradoville_2020:4:SRP190508, 16543, 16516, 16507, 16507, 16492
Gradoville_2020.4.SRP190508___Gradoville121.68938,Gradoville121.68938,Gradoville_2020,Gradoville_2020:4:SRP190508, 14028, 14026, 14026, 14022, 14022
Gradoville_2020.4.SRP190508___Gradoville13.68508,Gradoville13.68508,Gradoville_2020,Gradoville_2020:4:SRP190508, 24951, 24778, 22856, 21741, 19408
Gradoville_2020.4.SRP190508___Gradoville14.68509,Gradoville14.68509,Gradoville_2020,Gradoville_2020:4:SRP190508, 25709, 25628, 25084, 24844, 23249
Gradoville_2020.4.SRP190508___Gradoville15.68514,Gradoville15.68514,Gradoville_2020,Gradoville_2020:4:SRP190508, 18920, 18900, 18887, 18887, 18887
Gradoville_2020.4.SRP190508___Gradoville16.68515,Gradoville16.68515,Gradoville_2020,Gradoville_2020:4:SRP190508, 19390, 19377, 19353, 19341, 19324
Gradoville_2020.4.SRP190508___Gradoville17.68516,Gradoville17.68516,Gradoville_2020,Gradoville_2020:4:SRP190508, 21449, 21449, 21438, 21435, 21435
Gradoville_2020.4.SRP190508___Gradoville18.68517,Gradoville18.68517,Gradoville_2020,Gradoville_2020:4:SRP190508, 21605, 21603, 21516, 21514, 21488
Gradoville_2020.4.SRP190508___Gradoville19.68518,Gradoville19.68518,Gradoville_2020,Gradoville_2020:4:SRP190508, 40508, 40508, 40474, 40463, 40463
Gradoville_2020.4.SRP190508___Gradoville2.68485,Gradoville2.68485,Gradoville_2020,Gradoville_2020:4:SRP190508, 29955, 29955, 29950, 29948, 29942
Gradoville_2020.4.SRP190508___Gradoville20.68519,Gradoville20.68519,Gradoville_2020,Gradoville_2020:4:SRP190508, 27982, 27982, 27977, 27971, 27968
Gradoville_2020.4.SRP190508___Gradoville21.68524,Gradoville21.68524,Gradoville_2020,Gradoville_2020:4:SRP190508, 24162, 24160, 24129, 24123, 24109
Gradoville_2020.4.SRP190508___Gradoville22.68525,Gradoville22.68525,Gradoville_2020,Gradoville_2020:4:SRP190508, 24112, 24107, 24096, 24088, 24069
Gradoville_2020.4.SRP190508___Gradoville23.68530,Gradoville23.68530,Gradoville_2020,Gradoville_2020:4:SRP190508, 26111, 26106, 26084, 26077, 25970
Gradoville_2020.4.SRP190508___Gradoville24.68531,Gradoville24.68531,Gradoville_2020,Gradoville_2020:4:SRP190508, 22184, 22184, 22155, 22155, 22135
Gradoville_2020.4.SRP190508___Gradoville25.68535,Gradoville25.68535,Gradoville_2020,Gradoville_2020:4:SRP190508, 28933, 28895, 28881, 28871, 28842
Gradoville_2020.4.SRP190508___Gradoville26.68536,Gradoville26.68536,Gradoville_2020,Gradoville_2020:4:SRP190508, 30681, 30677, 30674, 30674, 30659
Gradoville_2020.4.SRP190508___Gradoville27.68537,Gradoville27.68537,Gradoville_2020,Gradoville_2020:4:SRP190508, 22992, 22992, 22992, 22992, 22964
Gradoville_2020.4.SRP190508___Gradoville28.68538,Gradoville28.68538,Gradoville_2020,Gradoville_2020:4:SRP190508, 33792, 33786, 33786, 33786, 33756
Gradoville_2020.4.SRP190508___Gradoville29.68543,Gradoville29.68543,Gradoville_2020,Gradoville_2020:4:SRP190508, 34852, 34832, 34805, 34805, 34746
Gradoville_2020.4.SRP190508___Gradoville3.68490,Gradoville3.68490,Gradoville_2020,Gradoville_2020:4:SRP190508, 31920, 31882, 31863, 31863, 31853
Gradoville_2020.4.SRP190508___Gradoville30.68544,Gradoville30.68544,Gradoville_2020,Gradoville_2020:4:SRP190508, 34990, 34966, 34917, 34917, 34840
Gradoville_2020.4.SRP190508___Gradoville4.68491,Gradoville4.68491,Gradoville_2020,Gradoville_2020:4:SRP190508, 19495, 19485, 19475, 19475, 19475
Gradoville_2020.4.SRP190508___Gradoville5.68496,Gradoville5.68496,Gradoville_2020,Gradoville_2020:4:SRP190508, 33293, 33277, 33129, 33118, 33108
Gradoville_2020.4.SRP190508___Gradoville6.68497,Gradoville6.68497,Gradoville_2020,Gradoville_2020:4:SRP190508, 27032, 27027, 27005, 26983, 26902
Gradoville_2020.4.SRP190508___Gradoville7.68502,Gradoville7.68502,Gradoville_2020,Gradoville_2020:4:SRP190508, 26166, 26166, 25970, 25961, 25930
Gradoville_2020.4.SRP190508___Gradoville8.68503,Gradoville8.68503,Gradoville_2020,Gradoville_2020:4:SRP190508, 18682, 18672, 18669, 18665, 18656
Gradoville_2020.4.SRP190508___Gradoville9.68504,Gradoville9.68504,Gradoville_2020,Gradoville_2020:4:SRP190508, 24765, 24761, 24731, 24725, 24720
Gradoville_2020.4.SRP190508___Gradoville98.68885,Gradoville98.68885,Gradoville_2020,Gradoville_2020:4:SRP190508, 22059, 22053, 22054, 22054, 22036
Gradoville_2020.4.SRP190508___Gradoville99.68886,Gradoville99.68886,Gradoville_2020,Gradoville_2020:4:SRP190508,  8245,  8245,  8234,  8234,  8223
Gradoville_2020.5.SRP190508___Gradoville77.68482,Gradoville77.68482,Gradoville_2020,Gradoville_2020:5:SRP190508, 34365, 34348, 34000, 34000, 34000
Gradoville_2020.5.SRP190508___Gradoville78.68483,Gradoville78.68483,Gradoville_2020,Gradoville_2020:5:SRP190508, 43484, 43451, 43377, 43377, 43377
Gradoville_2020.5.SRP190508___Gradoville79.68494,Gradoville79.68494,Gradoville_2020,Gradoville_2020:5:SRP190508, 23898, 23891, 23786, 23786, 23786
Gradoville_2020.5.SRP190508___Gradoville80.68495,Gradoville80.68495,Gradoville_2020,Gradoville_2020:5:SRP190508, 18671, 18668, 18563, 18563, 18563
Gradoville_2020.5.SRP190508___Gradoville81.68522,Gradoville81.68522,Gradoville_2020,Gradoville_2020:5:SRP190508, 38431, 38431, 38413, 38413, 38413
Gradoville_2020.5.SRP190508___Gradoville82.68523,Gradoville82.68523,Gradoville_2020,Gradoville_2020:5:SRP190508, 34856, 34843, 34843, 34843, 34843
Gradoville_2020.5.SRP190508___Gradoville83.68541,Gradoville83.68541,Gradoville_2020,Gradoville_2020:5:SRP190508, 29295, 29295, 29237, 29237, 29237
Gradoville_2020.5.SRP190508___Gradoville84.68542,Gradoville84.68542,Gradoville_2020,Gradoville_2020:5:SRP190508, 35316, 35316, 35187, 35187, 35183
Gradoville_2020.5.SRP190508___Gradoville85.68893,Gradoville85.68893,Gradoville_2020,Gradoville_2020:5:SRP190508, 25225, 25225, 25040, 25040, 25040
Gradoville_2020.5.SRP190508___Gradoville86.68894,Gradoville86.68894,Gradoville_2020,Gradoville_2020:5:SRP190508, 28165, 28165, 28144, 28144, 28144
Gradoville_2020.5.SRP190508___Gradoville87.68911,Gradoville87.68911,Gradoville_2020,Gradoville_2020:5:SRP190508, 24541, 24529, 24367, 24367, 24367
Gradoville_2020.5.SRP190508___Gradoville88.68912,Gradoville88.68912,Gradoville_2020,Gradoville_2020:5:SRP190508, 33014, 33002, 32984, 32984, 32984
Hallstrom_2021.1.SRP277143___SRR12432956,SRR12432956,Hallstrom_2021,Hallstrom_2021:1:SRP277143,746120,745581,700544,699859,697969
Hallstrom_2021.1.SRP277143___SRR12432957,SRR12432957,Hallstrom_2021,Hallstrom_2021:1:SRP277143,207580,207492,190722,190670,190098
Hallstrom_2021.1.SRP277143___SRR12432958,SRR12432958,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 46563, 46528, 44266, 44231, 44041
Hallstrom_2021.1.SRP277143___SRR12432959,SRR12432959,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 49727, 49722, 46288, 46269, 46167
Hallstrom_2021.1.SRP277143___SRR12432960,SRR12432960,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 46693, 46689, 43600, 43600, 43600
Hallstrom_2021.1.SRP277143___SRR12432961,SRR12432961,Hallstrom_2021,Hallstrom_2021:1:SRP277143,108718,108690,102741,102701,102650
Hallstrom_2021.1.SRP277143___SRR12432962,SRR12432962,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 29944, 29926, 28490, 28487, 28439
Hallstrom_2021.1.SRP277143___SRR12432963,SRR12432963,Hallstrom_2021,Hallstrom_2021:1:SRP277143,199217,199209,184356,184335,184317
Hallstrom_2021.1.SRP277143___SRR12432964,SRR12432964,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 14933, 14920, 13254, 13250, 13167
Hallstrom_2021.1.SRP277143___SRR12432965,SRR12432965,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 35572, 35572, 33368, 33368, 33368
Hallstrom_2021.1.SRP277143___SRR12432966,SRR12432966,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 39362, 39362, 37512, 37512, 37508
Hallstrom_2021.1.SRP277143___SRR12432967,SRR12432967,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 11070, 11018, 10047,  9998,  9867
Hallstrom_2021.1.SRP277143___SRR12432968,SRR12432968,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 36238, 36238, 34143, 34143, 34143
Hallstrom_2021.1.SRP277143___SRR12432969,SRR12432969,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 40544, 40544, 40147, 40147, 40147
Hallstrom_2021.1.SRP277143___SRR12432970,SRR12432970,Hallstrom_2021,Hallstrom_2021:1:SRP277143,150126,150121,139019,139019,139019
Hallstrom_2021.1.SRP277143___SRR12432971,SRR12432971,Hallstrom_2021,Hallstrom_2021:1:SRP277143,  8108,  8108,  7707,  7707,  7707
Hallstrom_2021.1.SRP277143___SRR12432972,SRR12432972,Hallstrom_2021,Hallstrom_2021:1:SRP277143,168267,168254,153962,153957,153942
Hallstrom_2021.1.SRP277143___SRR12432973,SRR12432973,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 19065, 19065, 17485, 17483, 17480
Hallstrom_2021.1.SRP277143___SRR12432974,SRR12432974,Hallstrom_2021,Hallstrom_2021:1:SRP277143,709100,709049,656280,656261,656195
Hallstrom_2021.1.SRP277143___SRR12432975,SRR12432975,Hallstrom_2021,Hallstrom_2021:1:SRP277143,532981,532975,354340,354309,354203
Hallstrom_2021.1.SRP277143___SRR12432976,SRR12432976,Hallstrom_2021,Hallstrom_2021:1:SRP277143,  3535,  3533,  3300,  3300,  3300
Hallstrom_2021.1.SRP277143___SRR12432977,SRR12432977,Hallstrom_2021,Hallstrom_2021:1:SRP277143,625312,625215,582210,582189,582073
Hallstrom_2021.1.SRP277143___SRR12432978,SRR12432978,Hallstrom_2021,Hallstrom_2021:1:SRP277143,223184,223166,205623,205619,205557
Hallstrom_2021.1.SRP277143___SRR12432979,SRR12432979,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 39775, 39773, 38924, 38922, 38875
Hallstrom_2021.1.SRP277143___SRR12432980,SRR12432980,Hallstrom_2021,Hallstrom_2021:1:SRP277143,329260,329254,306122,306122,306061
Hallstrom_2021.1.SRP277143___SRR12432981,SRR12432981,Hallstrom_2021,Hallstrom_2021:1:SRP277143,440935,440900,408482,408478,408437
Hallstrom_2021.1.SRP277143___SRR12432982,SRR12432982,Hallstrom_2021,Hallstrom_2021:1:SRP277143,101249,101249, 94681, 94681, 94653
Hallstrom_2021.1.SRP277143___SRR12432983,SRR12432983,Hallstrom_2021,Hallstrom_2021:1:SRP277143,155649,155632,150890,150870,150719
Hallstrom_2021.1.SRP277143___SRR12432984,SRR12432984,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 38650, 38645, 30311, 30311, 30299
Hallstrom_2021.1.SRP277143___SRR12432985,SRR12432985,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 54811, 54504, 42176, 42134, 41881
Hallstrom_2021.1.SRP277143___SRR12432986,SRR12432986,Hallstrom_2021,Hallstrom_2021:1:SRP277143,290721,290673,272551,272540,272540
Hallstrom_2021.1.SRP277143___SRR12432987,SRR12432987,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 37282, 37280, 36169, 36167, 36095
Hallstrom_2021.1.SRP277143___SRR12432988,SRR12432988,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 59958, 59944, 44574, 44574, 44445
Hallstrom_2021.1.SRP277143___SRR12432989,SRR12432989,Hallstrom_2021,Hallstrom_2021:1:SRP277143,153219,153203,110674,110674,110663
Hallstrom_2021.1.SRP277143___SRR12432990,SRR12432990,Hallstrom_2021,Hallstrom_2021:1:SRP277143,156763,156671,149518,149486,149396
Hallstrom_2021.1.SRP277143___SRR12432991,SRR12432991,Hallstrom_2021,Hallstrom_2021:1:SRP277143,133106,133024,126291,126238,126099
Hallstrom_2021.1.SRP277143___SRR12432992,SRR12432992,Hallstrom_2021,Hallstrom_2021:1:SRP277143,113564,113423,109067,109012,108859
Hallstrom_2021.1.SRP277143___SRR12432993,SRR12432993,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 76302, 76283, 69036, 69031, 69024
Hallstrom_2021.1.SRP277143___SRR12432994,SRR12432994,Hallstrom_2021,Hallstrom_2021:1:SRP277143,196840,196808,183325,183310,183273
Hallstrom_2021.1.SRP277143___SRR12432995,SRR12432995,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 49510, 49500, 48703, 48699, 48689
Hallstrom_2021.1.SRP277143___SRR12432996,SRR12432996,Hallstrom_2021,Hallstrom_2021:1:SRP277143,157216,152697,120024,114092,107840
Hallstrom_2021.1.SRP277143___SRR12432997,SRR12432997,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 50524, 50522, 49608, 49608, 49598
Hallstrom_2021.1.SRP277143___SRR12432998,SRR12432998,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 20888, 20797, 19213, 19213, 19207
Hallstrom_2021.1.SRP277143___SRR12432999,SRR12432999,Hallstrom_2021,Hallstrom_2021:1:SRP277143,118096,118091,115235,115235,115223
Hallstrom_2021.1.SRP277143___SRR12433000,SRR12433000,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 81895, 81889, 76419, 76417, 76409
Hallstrom_2021.1.SRP277143___SRR12433001,SRR12433001,Hallstrom_2021,Hallstrom_2021:1:SRP277143,165844,165521,158223,158185,158027
Hallstrom_2021.1.SRP277143___SRR12433002,SRR12433002,Hallstrom_2021,Hallstrom_2021:1:SRP277143,141150,141139,113628,113615,113547
Hallstrom_2021.1.SRP277143___SRR12433003,SRR12433003,Hallstrom_2021,Hallstrom_2021:1:SRP277143,212040,211991,196074,196038,195822
Hallstrom_2021.1.SRP277143___SRR12433004,SRR12433004,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 53324, 53318, 49671, 49654, 49589
Hallstrom_2021.1.SRP277143___SRR12433005,SRR12433005,Hallstrom_2021,Hallstrom_2021:1:SRP277143,158243,158088,152980,152901,152473
Hallstrom_2021.1.SRP277143___SRR12433006,SRR12433006,Hallstrom_2021,Hallstrom_2021:1:SRP277143,314024,313599,296863,296708,296026
Hallstrom_2021.1.SRP277143___SRR12433007,SRR12433007,Hallstrom_2021,Hallstrom_2021:1:SRP277143,481694,481600,454759,454668,454304
Hallstrom_2021.1.SRP277143___SRR12433008,SRR12433008,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 68402, 68400, 60428, 60421, 60391
Hallstrom_2021.1.SRP277143___SRR12433009,SRR12433009,Hallstrom_2021,Hallstrom_2021:1:SRP277143,225143,225139,195725,195716,195716
Hallstrom_2021.1.SRP277143___SRR12726924,SRR12726924,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 33285, 33261, 31317, 31317, 31295
Hallstrom_2021.1.SRP277143___SRR12726925,SRR12726925,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 26444, 26419, 24983, 24974, 24934
Hallstrom_2021.1.SRP277143___SRR12726926,SRR12726926,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 22543, 22531, 21141, 21139, 21107
Hallstrom_2021.1.SRP277143___SRR12726927,SRR12726927,Hallstrom_2021,Hallstrom_2021:1:SRP277143,  9870,  9864,  9141,  9141,  9118
Hallstrom_2021.1.SRP277143___SRR12726928,SRR12726928,Hallstrom_2021,Hallstrom_2021:1:SRP277143,144623,144484,140224,140123,139955
Hallstrom_2021.1.SRP277143___SRR12726929,SRR12726929,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 31799, 31792, 29945, 29940, 29904
Hallstrom_2021.1.SRP277143___SRR12726930,SRR12726930,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 40167, 40155, 38543, 38534, 38488
Hallstrom_2021.1.SRP277143___SRR12726931,SRR12726931,Hallstrom_2021,Hallstrom_2021:1:SRP277143,220605,220513,203993,203902,203698
Hallstrom_2021.1.SRP277143___SRR12726932,SRR12726932,Hallstrom_2021,Hallstrom_2021:1:SRP277143,262843,262672,249244,249097,248773
Hallstrom_2021.1.SRP277143___SRR12726933,SRR12726933,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 64331, 64311, 60835, 60828, 60761
Hallstrom_2021.1.SRP277143___SRR12726934,SRR12726934,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 77363, 77334, 73898, 73868, 73765
Hallstrom_2021.1.SRP277143___SRR12726935,SRR12726935,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 68314, 68281, 64728, 64702, 64605
Hallstrom_2021.1.SRP277143___SRR12726936,SRR12726936,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 55942, 55931, 52681, 52678, 52604
Hallstrom_2021.1.SRP277143___SRR12726937,SRR12726937,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 20392, 20383, 19375, 19368, 19310
Hallstrom_2021.1.SRP277143___SRR12726938,SRR12726938,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 22928, 22922, 21855, 21851, 21851
Hallstrom_2021.1.SRP277143___SRR12726939,SRR12726939,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 34377, 34377, 33091, 33086, 33053
Hallstrom_2021.1.SRP277143___SRR12726940,SRR12726940,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 11081, 11081, 10223, 10220, 10220
Hallstrom_2021.1.SRP277143___SRR12726941,SRR12726941,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 16497, 16497, 15533, 15533, 15530
Hallstrom_2021.1.SRP277143___SRR12726942,SRR12726942,Hallstrom_2021,Hallstrom_2021:1:SRP277143,394751,394302,379865,379682,378999
Hallstrom_2021.1.SRP277143___SRR12726943,SRR12726943,Hallstrom_2021,Hallstrom_2021:1:SRP277143,203649,203550,198247,198139,197980
Hallstrom_2021.1.SRP277143___SRR12726944,SRR12726944,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 85362, 85267, 80399, 80354, 80233
Hallstrom_2021.1.SRP277143___SRR12726945,SRR12726945,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 50175, 50148, 47775, 47756, 47699
Hallstrom_2021.1.SRP277143___SRR12726946,SRR12726946,Hallstrom_2021,Hallstrom_2021:1:SRP277143,154003,153912,145845,145793,145603
Hallstrom_2021.1.SRP277143___SRR12726947,SRR12726947,Hallstrom_2021,Hallstrom_2021:1:SRP277143,257876,257631,244889,244640,244200
Hallstrom_2021.1.SRP277143___SRR12726948,SRR12726948,Hallstrom_2021,Hallstrom_2021:1:SRP277143,  2836,  2836,  2357,  2357,  2357
Hallstrom_2021.1.SRP277143___SRR12726949,SRR12726949,Hallstrom_2021,Hallstrom_2021:1:SRP277143, 82532, 82486, 78672, 78654, 78520
