SRR13240302	SRR13240303	SRR13240304	SRR13240305	SRR13240306	SRR13240307	SRR13240308	SRR13240309	SRR13240310	SRR13240311
ASV.302	84	0	0	0	0	0	0	0	0	43
ASV.303	0	0	0	4	0	0	0	0	123	0
ASV.304	0	0	0	127	0	0	0	0	0	0
ASV.305	75	0	0	43	0	0	0	0	0	8
ASV.306	88	0	14	0	0	0	0	0	0	24
ASV.307	0	82	44	0	0	0	0	0	0	0
ASV.308	0	0	36	90	0	0	0	0	0	0
ASV.309	0	0	0	0	126	0	0	0	0	0
ASV.310	103	0	0	0	0	0	0	0	0	22
ASV.311	0	125	0	0	0	0	0	0	0	0
ASV.312	0	125	0	0	0	0	0	0	0	0
ASV.313	0	0	0	0	72	0	0	0	53	0
ASV.314	0	0	0	0	0	0	0	0	125	0
ASV.315	124	0	0	0	0	0	0	0	0	0
ASV.316	124	0	0	0	0	0	0	0	0	0
ASV.317	56	0	4	0	0	0	0	0	0	64
ASV.318	124	0	0	0	0	0	0	0	0	0
ASV.319	0	0	124	0	0	0	0	0	0	0
ASV.320	0	0	0	0	0	0	69	0	55	0
ASV.321	123	0	0	0	0	0	0	0	0	0
ASV.322	0	78	45	0	0	0	0	0	0	0
ASV.323	0	0	0	123	0	0	0	0	0	0
ASV.324	0	0	0	0	0	0	0	0	0	123
ASV.325	0	56	66	0	0	0	0	0	0	0
ASV.326	0	0	0	122	0	0	0	0	0	0
ASV.327	0	0	0	0	0	0	0	0	122	0
ASV.328	121	0	0	0	0	0	0	0	0	0
ASV.329	0	121	0	0	0	0	0	0	0	0
ASV.330	0	6	54	61	0	0	0	0	0	0
ASV.331	0	0	0	121	0	0	0	0	0	0
ASV.332	0	0	0	0	101	0	0	0	0	20
ASV.333	0	0	0	0	0	0	121	0	0	0
ASV.334	62	0	6	0	0	0	0	0	0	52
ASV.335	120	0	0	0	0	0	0	0	0	0
ASV.336	82	31	0	0	0	0	0	0	0	7
ASV.337	0	0	0	120	0	0	0	0	0	0
ASV.338	0	0	0	0	3	117	0	0	0	0
ASV.339	0	0	0	0	0	0	120	0	0	0
ASV.341	32	0	0	51	0	0	0	0	0	36
ASV.342	0	2	29	88	0	0	0	0	0	0
ASV.343	0	0	0	0	0	0	119	0	0	0
ASV.346	36	0	11	44	0	0	0	0	0	27
ASV.347	48	0	0	0	0	0	0	0	0	70
ASV.348	0	118	0	0	0	0	0	0	0	0
ASV.349	0	86	32	0	0	0	0	0	0	0
ASV.350	0	0	0	118	0	0	0	0	0	0
ASV.352	88	0	0	0	0	0	0	0	0	29
ASV.353	117	0	0	0	0	0	0	0	0	0
ASV.354	0	0	54	63	0	0	0	0	0	0
ASV.355	0	0	0	117	0	0	0	0	0	0
ASV.356	116	0	0	0	0	0	0	0	0	0
ASV.357	0	99	17	0	0	0	0	0	0	0
ASV.358	0	0	28	83	0	0	0	0	0	5
ASV.359	115	0	0	0	0	0	0	0	0	0
ASV.360	115	0	0	0	0	0	0	0	0	0
ASV.361	0	115	0	0	0	0	0	0	0	0
ASV.362	0	0	0	115	0	0	0	0	0	0
ASV.363	0	0	0	115	0	0	0	0	0	0
ASV.364	0	0	0	0	0	0	0	115	0	0
ASV.365	114	0	0	0	0	0	0	0	0	0
ASV.366	55	0	0	58	0	0	0	0	0	0
ASV.367	56	0	0	0	0	0	0	0	0	57
ASV.368	22	0	0	88	0	0	0	0	0	3
ASV.369	0	66	0	47	0	0	0	0	0	0
ASV.370	0	0	78	35	0	0	0	0	0	0
ASV.371	0	0	31	82	0	0	0	0	0	0
ASV.372	0	0	66	47	0	0	0	0	0	0
ASV.373	0	0	38	75	0	0	0	0	0	0
ASV.374	0	0	0	0	0	0	113	0	0	0
ASV.375	112	0	0	0	0	0	0	0	0	0
ASV.376	0	41	10	61	0	0	0	0	0	0
ASV.377	0	0	0	0	0	112	0	0	0	0
ASV.378	111	0	0	0	0	0	0	0	0	0
ASV.379	106	0	0	0	0	0	0	0	0	5
ASV.380	0	111	0	0	0	0	0	0	0	0
ASV.381	0	0	5	106	0	0	0	0	0	0
ASV.382	67	0	9	0	0	0	0	0	0	34
ASV.383	110	0	0	0	0	0	0	0	0	0
ASV.384	51	0	0	30	0	0	0	0	0	29
ASV.385	0	3	0	7	14	0	9	0	31	46
ASV.386	0	110	0	0	0	0	0	0	0	0
ASV.387	0	0	49	61	0	0	0	0	0	0
ASV.388	0	0	0	110	0	0	0	0	0	0
ASV.389	0	0	0	110	0	0	0	0	0	0
ASV.390	0	0	0	110	0	0	0	0	0	0
ASV.391	0	0	0	0	64	0	4	42	0	0
ASV.392	0	0	0	0	0	0	0	88	22	0
ASV.393	84	0	0	0	0	0	0	0	0	25
ASV.394	0	36	9	64	0	0	0	0	0	0
ASV.395	0	52	25	32	0	0	0	0	0	0
ASV.397	108	0	0	0	0	0	0	0	0	0
ASV.398	0	97	11	0	0	0	0	0	0	0
ASV.399	0	0	0	0	0	0	108	0	0	0
ASV.400	107	0	0	0	0	0	0	0	0	0
ASV.401	0	4	38	65	0	0	0	0	0	0
ASV.402	0	0	0	107	0	0	0	0	0	0
ASV.403	0	0	0	0	0	0	107	0	0	0
ASV.404	33	0	17	0	0	0	0	0	0	56
ASV.405	85	0	0	0	0	0	0	0	0	21
ASV.406	0	102	4	0	0	0	0	0	0	0
ASV.407	105	0	0	0	0	0	0	0	0	0
ASV.408	0	0	0	0	0	0	105	0	0	0
ASV.409	104	0	0	0	0	0	0	0	0	0
ASV.410	96	0	0	0	0	0	0	0	0	8
ASV.411	71	0	0	0	0	0	0	0	0	33
ASV.412	0	67	37	0	0	0	0	0	0	0
ASV.414	0	0	22	82	0	0	0	0	0	0
ASV.415	0	0	0	104	0	0	0	0	0	0
ASV.416	0	0	0	0	0	0	104	0	0	0
ASV.418	0	0	0	103	0	0	0	0	0	0
ASV.419	0	0	0	103	0	0	0	0	0	0
ASV.420	0	0	0	0	0	0	103	0	0	0
ASV.421	0	0	0	0	0	0	103	0	0	0
ASV.422	102	0	0	0	0	0	0	0	0	0
ASV.423	0	2	0	100	0	0	0	0	0	0
ASV.424	0	0	42	60	0	0	0	0	0	0
ASV.425	87	0	0	0	0	0	0	0	0	14
ASV.426	101	0	0	0	0	0	0	0	0	0
ASV.427	0	2	0	0	0	0	99	0	0	0
ASV.428	0	0	8	93	0	0	0	0	0	0
ASV.429	0	0	0	101	0	0	0	0	0	0
ASV.431	100	0	0	0	0	0	0	0	0	0
ASV.432	0	0	0	100	0	0	0	0	0	0
ASV.433	0	0	0	100	0	0	0	0	0	0
ASV.434	78	0	0	0	0	0	0	0	0	21
ASV.435	0	99	0	0	0	0	0	0	0	0
ASV.436	0	0	0	99	0	0	0	0	0	0
ASV.438	98	0	0	0	0	0	0	0	0	0
