Turk001-60663	Turk002-60836	Turk003-64283	Turk004-61107	Turk005-61293	Turk006-61492	Turk007-61980	Turk010-60665	Turk011-60838	Turk012-64287	Turk013-61115	Turk014-61297	Turk015-61600	Turk016-62051	Turk019-60667	Turk020-60875	Turk021-64291	Turk022-61155	Turk023-61301	Turk024-61604	Turk025-62059	Turk028-60690	Turk029-60883	Turk030-64295	Turk031-61159	Turk032-61380	Turk033-61837	Turk034-64519	Turk037-60692	Turk038-60909	Turk039-61091	Turk040-61167	Turk041-61388	Turk042-61845	Turk043-64524	Turk045-64121	Turk046-60917	Turk047-61099	Turk048-61197	Turk049-61424	Turk050-61868	Turk051-64631	Turk053-64125	Turk054-64160	Turk055-61107	Turk056-61198	Turk057-61432	Turk058-61876	Turk059-64634	Turk061-64126	Turk062-64275	Turk063-61115	Turk064-61199	Turk065-61484	Turk066-61972	Turk067-64223
ASV.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1971	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.85	0	0	0	230	0	0	743	0	0	0	0	0	0	7	0	0	0	0	0	48	163	0	0	18	0	0	0	57	0	0	0	0	0	0	82	0	0	0	0	0	51	36	0	0	0	0	0	0	196	0	0	0	0	0	362	0
ASV.87	0	0	0	0	0	1861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.88	0	391	0	0	0	0	0	0	364	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	283	108	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292
ASV.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.90	643	0	0	0	0	0	0	452	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.91	0	0	255	172	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	358	0	0	0	0	0	0	0	0	0	0	0	365	46	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0
ASV.92	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	24	0	0	0	0	0	0	0	0	0	749	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	346	0	0	0	0	0	0	0
ASV.94	0	0	0	0	0	0	99	0	0	0	0	0	0	70	0	0	0	0	0	0	100	0	0	189	0	0	0	220	0	0	0	0	0	0	88	0	0	0	0	0	44	571	0	0	0	0	0	0	66	0	0	0	0	0	214	0
ASV.96	0	341	0	0	0	0	0	0	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.105	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	329	0	0	42	0	0	0	51	0	0	0	0	0	0	0	0	108	0	0	0	0	45	0	0	0	0	0	0	248	0	0	0	0	0	0	374	0	0	0	0	156
ASV.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	1308	0	0	0	0	0	0	0	0	0
ASV.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	253	0	0	0	0	0	0
ASV.113	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	83	0	0	0	0	0	0	0	0	0	166	0	0	129	0	0	0	0	0	507	0	0	0
ASV.114	0	0	0	0	0	0	0	0	0	0	0	587	0	0	0	0	0	0	101	226	4	0	0	0	0	0	0	0	0	0	0	61	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	595	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.116	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	63	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	49	0	442	0	34	0	0	106
ASV.117	0	1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.118	0	421	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.120	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	552	223	0
ASV.122	0	0	0	0	271	0	0	0	0	0	0	536	0	0	0	0	0	61	0	0	0	0	0	0	0	78	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.123	0	0	0	0	0	0	0	0	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0
ASV.124	0	0	78	30	0	125	0	0	0	0	62	0	83	0	0	0	0	0	0	0	0	9	0	0	0	0	60	0	0	0	0	0	259	0	0	0	76	0	30	0	0	0	50	0	0	0	0	35	0	0	41	0	0	0	82	71
ASV.125	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	186	144	37	0	0	0	7	0	0	0
ASV.127	1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
