asvLen	totReads	numSamps
ASV.2430	216	2	1
ASV.2431	208	2	1
ASV.2432	222	2	1
ASV.2433	242	2	1
ASV.2434	215	2	1
ASV.2435	208	2	1
ASV.2437	284	2	1
ASV.2441	291	2	1
ASV.2573	325	1	1
ASV.2574	325	1	1
ASV.2642	326	1	1
ASV.2643	326	1	1
ASV.2760	328	1	1
ASV.2767	326	1	1
ASV.2797	235	1	1
ASV.2798	295	1	1
ASV.2799	295	1	1
ASV.2814	325	1	1
