SRR13612837	SRR13612838	SRR13612840	SRR13612903	SRR13612904	SRR13612905	SRR13612906
ASV.474	0	5	0	0	0	0	0
ASV.475	0	5	0	0	0	0	0
ASV.480	0	0	0	5	0	0	0
ASV.481	0	0	0	5	0	0	0
ASV.482	0	0	0	5	0	0	0
ASV.483	0	0	0	5	0	0	0
ASV.484	0	0	0	5	0	0	0
ASV.485	0	0	0	5	0	0	0
ASV.486	0	0	0	5	0	0	0
ASV.487	0	0	0	5	0	0	0
ASV.488	0	0	0	5	0	0	0
ASV.489	0	0	0	5	0	0	0
ASV.490	0	0	0	5	0	0	0
ASV.491	0	0	0	5	0	0	0
ASV.492	0	0	0	5	0	0	0
ASV.493	0	0	0	0	5	0	0
ASV.494	0	0	0	0	5	0	0
ASV.495	0	0	0	0	5	0	0
ASV.496	0	0	0	0	5	0	0
ASV.497	0	0	0	0	5	0	0
ASV.498	0	0	0	0	5	0	0
ASV.499	0	0	0	0	5	0	0
ASV.500	0	0	0	0	5	0	0
ASV.501	0	0	0	0	5	0	0
ASV.502	0	0	0	0	5	0	0
ASV.503	0	0	0	0	5	0	0
ASV.504	0	0	0	0	5	0	0
ASV.505	0	0	0	0	5	0	0
ASV.506	0	0	0	0	5	0	0
ASV.507	0	0	0	0	5	0	0
ASV.508	0	0	0	0	5	0	0
ASV.509	0	0	0	0	5	0	0
ASV.510	0	0	0	0	5	0	0
ASV.511	0	0	0	0	5	0	0
ASV.512	0	0	0	0	5	0	0
ASV.513	0	0	0	0	5	0	0
ASV.514	0	0	0	0	5	0	0
ASV.515	0	0	0	0	5	0	0
ASV.516	0	0	0	0	5	0	0
ASV.517	0	0	0	0	0	5	0
ASV.519	0	0	0	0	0	0	5
ASV.520	0	0	0	0	0	0	5
ASV.521	0	0	0	0	0	0	5
ASV.522	0	0	0	0	0	0	5
ASV.523	0	0	0	0	0	0	5
ASV.524	0	0	0	0	0	0	5
ASV.525	0	0	0	0	0	0	5
ASV.526	0	0	0	0	0	0	5
ASV.527	4	0	0	0	0	0	0
ASV.528	4	0	0	0	0	0	0
ASV.529	4	0	0	0	0	0	0
ASV.530	4	0	0	0	0	0	0
ASV.531	4	0	0	0	0	0	0
ASV.532	4	0	0	0	0	0	0
ASV.535	0	4	0	0	0	0	0
ASV.536	0	4	0	0	0	0	0
ASV.537	0	4	0	0	0	0	0
ASV.543	0	0	4	0	0	0	0
ASV.549	0	0	0	4	0	0	0
ASV.550	0	0	0	4	0	0	0
ASV.551	0	0	0	4	0	0	0
ASV.553	0	0	0	4	0	0	0
ASV.554	0	0	0	4	0	0	0
ASV.555	0	0	0	4	0	0	0
ASV.556	0	0	0	4	0	0	0
ASV.557	0	0	0	4	0	0	0
ASV.558	0	0	0	4	0	0	0
ASV.559	0	0	0	4	0	0	0
ASV.560	0	0	0	4	0	0	0
ASV.561	0	0	0	4	0	0	0
ASV.562	0	0	0	4	0	0	0
ASV.563	0	0	0	4	0	0	0
ASV.564	0	0	0	4	0	0	0
ASV.565	0	0	0	4	0	0	0
ASV.567	0	0	0	4	0	0	0
ASV.568	0	0	0	0	4	0	0
ASV.569	0	0	0	0	4	0	0
ASV.570	0	0	0	0	4	0	0
ASV.571	0	0	0	0	4	0	0
ASV.572	0	0	0	0	4	0	0
ASV.573	0	0	0	0	4	0	0
ASV.574	0	0	0	0	4	0	0
ASV.575	0	0	0	0	4	0	0
ASV.576	0	0	0	0	4	0	0
ASV.577	0	0	0	0	4	0	0
ASV.578	0	0	0	0	4	0	0
ASV.579	0	0	0	0	4	0	0
ASV.580	0	0	0	0	4	0	0
ASV.581	0	0	0	0	4	0	0
ASV.582	0	0	0	0	4	0	0
ASV.583	0	0	0	0	4	0	0
ASV.584	0	0	0	0	4	0	0
ASV.585	0	0	0	0	4	0	0
ASV.586	0	0	0	0	4	0	0
ASV.587	0	0	0	0	4	0	0
ASV.588	0	0	0	0	4	0	0
ASV.589	0	0	0	0	4	0	0
ASV.590	0	0	0	0	4	0	0
ASV.591	0	0	0	0	0	4	0
ASV.592	0	0	0	0	0	4	0
ASV.593	0	0	0	0	0	4	0
ASV.594	0	0	0	0	0	4	0
ASV.595	0	0	0	0	0	4	0
ASV.596	0	0	0	0	0	4	0
ASV.597	0	0	0	0	0	4	0
ASV.598	0	0	0	0	0	4	0
ASV.599	0	0	0	0	0	4	0
ASV.600	0	0	0	0	0	0	4
ASV.601	0	0	0	0	0	0	4
ASV.602	0	0	0	0	0	0	4
ASV.603	0	0	0	0	0	0	4
ASV.604	0	0	0	0	0	0	4
ASV.605	0	0	0	0	0	0	4
ASV.606	0	0	0	0	0	0	4
ASV.607	0	0	0	0	0	0	4
ASV.608	0	0	0	0	0	0	4
ASV.609	0	0	0	0	0	0	4
ASV.610	0	0	0	0	0	0	4
ASV.611	0	0	0	0	0	0	4
ASV.612	0	0	0	0	0	0	4
ASV.613	3	0	0	0	0	0	0
ASV.614	3	0	0	0	0	0	0
ASV.615	3	0	0	0	0	0	0
ASV.616	3	0	0	0	0	0	0
ASV.617	3	0	0	0	0	0	0
ASV.618	3	0	0	0	0	0	0
ASV.619	3	0	0	0	0	0	0
ASV.620	3	0	0	0	0	0	0
ASV.621	3	0	0	0	0	0	0
ASV.622	3	0	0	0	0	0	0
ASV.623	3	0	0	0	0	0	0
ASV.627	3	0	0	0	0	0	0
ASV.628	0	3	0	0	0	0	0
ASV.629	0	3	0	0	0	0	0
