SRR1178399	SRR1178406	SRR1178373	SRR1178374	SRR1178375	SRR1178376	SRR1178377	SRR1178378	SRR1178393	SRR1178394	SRR1178395	SRR1178396	SRR1178397	SRR1178398
ASV.398	0	0	0	0	18	0	0	0	0	0	0	2	0	0
ASV.399	0	0	0	0	0	0	0	0	20	0	0	0	0	0
ASV.400	0	0	0	0	0	0	0	0	0	20	0	0	0	0
ASV.401	0	0	0	0	0	0	0	0	0	20	0	0	0	0
ASV.402	0	0	0	0	0	0	0	0	0	20	0	0	0	0
ASV.403	0	0	0	0	0	0	0	0	0	20	0	0	0	0
ASV.404	0	0	0	0	0	0	0	0	0	0	20	0	0	0
ASV.405	0	0	0	0	0	19	0	0	0	0	0	0	0	0
ASV.406	0	0	0	0	0	0	19	0	0	0	0	0	0	0
ASV.407	0	0	0	0	0	0	0	19	0	0	0	0	0	0
ASV.408	0	0	0	0	0	0	0	0	19	0	0	0	0	0
ASV.409	0	0	0	0	0	0	0	0	0	19	0	0	0	0
ASV.410	0	0	0	0	0	0	0	0	0	19	0	0	0	0
